RPM,BSFC,
3000.669344,0.680239521,0.720740475
3081.659973,0.668263473,0.700438408
3192.10174,0.653892216,0.674472491
3302.543507,0.637125749,0.650304261
3405.62249,0.622754491,0.629211312
3493.975904,0.610778443,0.612157273
3619.14324,0.594011976,0.589472963
3714.859438,0.582035928,0.573194008
3810.575636,0.57005988,0.557761855
3898.92905,0.558083832,0.544213196
3994.645248,0.546107784,0.530235844
4060.910308,0.536526946,0.520958976
4171.352075,0.522155689,0.506175785
4267.068273,0.510179641,0.494004669
4399.598394,0.493413174,0.478057558
4495.314592,0.481437126,0.467145743
4591.03079,0.469461078,0.456705126
4664.658635,0.45988024,0.44897587
4775.100402,0.445508982,0.437844831
4841.365462,0.438323353,0.431418698
4937.08166,0.426347305,0.422451941
5040.160643,0.414371257,0.41318991
5157.965194,0.40239521,0.403074231
5275.769746,0.390419162,0.393426572
5364.123159,0.380838323,0.386479171
5452.476573,0.371257485,0.379765586
5570.281124,0.361676647,0.371159325
5688.085676,0.354491018,0.362927827
5769.076305,0.349700599,0.357477808
5879.518072,0.34251497,0.350316858
5989.959839,0.335329341,0.343478795
6070.950469,0.332934132,0.338691559
6210.843373,0.328143713,0.330996815
6306.559572,0.325748503,0.326315389
6387.550201,0.323353293,0.322885833
6468.54083,0.320958084,0.320087225
6593.708166,0.318562874,0.31721619
6696.787149,0.318562874,0.316136391
6851.405622,0.316167665,0.316073019
6954.484605,0.316167665,0.316626569
7109.103079,0.316167665,0.317851445
7248.995984,0.318562874,0.319127204
7396.251673,0.318562874,0.320522449
7506.69344,0.320958084,0.321575293
7617.135207,0.323353293,0.322624039
7720.21419,0.325748503,0.323595841
