2, Austria, Rotax, Rotax 503, two-stroke,33.2,37,37000,kW," SIVA INTA, Spain",,,,,,
3, Austria, Rotax, Rotax 582, two-stroke,36,48,48000,kW, Gnat 750 GA-ASI. USA,,,,,,
4, Austria, Rotax, Rotax 912 A/F/UL, four-stroke,57.1,58,58000,kW,,,,,,,
6, Austria, Rotax, Rotax 914, four-stroke,71.7,73,73000,kW, SnowGoose MMIST. Canada,,,,,,
7, Austria, Rotax, Rotax 914F, four-stroke,64,84.5,84500,kW, Hermes 1500 Elbit Systems. Israel,,,,,,
17, Canada, Quadra-Aerrow, A150B, two-stroke,4.3,12,12000,kW,,,,,,,
18, Canada, Quadra-Aerrow, A200B, two-stroke,5.1,15,15000,kW,,,,,,,
19, Canada, Quadra-Aerrow, A200RSS, two-stroke,4.8,20,20000,kW,,,,,,,
20, Canada, Quadra-Aerrow, A400S, two-stroke,18.1,28,28000,kW,,,,,,,
21, Canada, Quadra-Aerrow, Q1000B, two-stroke,2.7,7,7000,kW,,,,,,,
28, China, (PR), NRIST 350F, two-stroke,16.5,18.6,18600, kW, W-50 NRIST. China,,,,,,
29, China, (PR), NRIST 40F, two-stroke,2,2.2,2200, kW, I-Z NRIST. China,,,,,,
30, China, (PR), Xian H3H,two-stroke,10.5,20.5,20500, kW,,,,,,,
31, China, (PR), Xian HS-350, two-stroke,13.5,14.9,14900, kW,,,,,,,
32, China, (PR), Xian HS-510G, two-stroke,18,27,27000, kW, ASN-104. ASN105B Xi’An ASN. China,,,,,,
33, China, (PR), Xian HS-700, two-stroke,24,38,38000, kW,,,,,,,
35, China, (PR), Yuhe YH-350, two-stroke,14,14.7,14700, kW,,,,,,,
43, Germany, 3W, Modelmotoren 3W-24i, two-stroke,1.34,1.75,1750, kW,,,,,,,
44, Gemany, 3W, Modellmotoren 3W-42i, two-stroke,1.85,3,3000, kW, MAV Honeywell. USA,,,,,,
45, Germany, 3W, Modelmotoren 3W-684i, two-stroke,16,44,44000, kW,,,,,,,
46, Germany, Gobler-Hirth, Motoren 2700 series, two-stroke,31,29.4,29400, kW,,,,,,,
48, Germany, Gobler-Hirth, Motoren 3503 HF,heavy fuel,30,45,45000, kW,,,,,,,
49, Germany, Gobler-Hirth, Motoren 4101,two-stroke,2.9,4,4000, kW,,,,,,,
50, Germany, Gobler-Hirth, Motoren 4102, two-stroke,2.5,6,6000, kW,,,,,,,
51, Germany, Gobler-Hirth, Motoren 65 cc,heavy fuel,5.9,4,4000, kW,,,,,,,
52, Germany, Gobler-Hirth, Motoren F 23, two-stroke,24,29,29000, kW,,,,,,,
53, Germany, Gobler-Hirth, Motoren F 30, two-stroke,42,75,75000, kW,,,,,,,
54, Germany, Gobler-Hirth, Motoren F 31, two-stroke,26.5,31.5,31500, kW, Ranger RUAG Aerospace,,,,,,
55, Germany, Gobler-Hirth, Motoren F 33, two-stroke,12.7,29,29000, kW, Inspektor SIS. Ukraine,,,,,,
56, Germany, Gobler-Hirth, Motoren F 36, two-stroke,9.4,11,11000, kW,,,,,,,
57, Germany, Gobler-Hirth, Motoren F 41, two-stroke,2.6,8.9,8900, kW,,,,,,,
58, Germany, Gobler-Hirth, Motoren H 30, two-stroke,42,75,75000, kW,,,,,,,
59, Germany, Gobler-Hirth, Motoren H 32, two-stroke,31,47.8,47800, kW,,,,,,,
60, Germany, Gobler-Hirth, Motoren H 37, two-stroke,45,66.6,66600, kW,,,,,,,
62, Germany, Gobler-Hirth, Motoren S 1204, heavy fuel,22,32,32000, kW,,,,,,,
65, Germany, Limbach Flugmotoren, L 2000 EB. L 2400 EB, four-stroke,80,59,59000, kW,,,,,,,
66, Germany, Limbach Flugmotoren, L 2400, four-stroke,86,96,96000, kW,,,,,,,
67, Germany, Limbach Flugmotoren, L 2400 DFi/Efi,four-stroke,76,74,74000, kW,,,,,,,
68, Germany, Limbach Flugmotoren, L 2400 DT/ET, four-stroke,86,96,96000, kW,,,,,,,
69, Germany, Limbach Flugmotoren, L 275 E, two-stroke,7.7,18,18000, kW,,,,,,,
70, Germany, Limbach Flugmotoren, L 550 E, two-stroke,16,37,37000, kW, Seeker II Denel Aerospace.S. Africa,,,,,,
