Latitude,Summer_Solstice,Equinoxes,Winter_Solstice,Average,DayLight,80th Percentile Winds,90th Percentile Winds,95th Percentile Winds,99th Percentile Winds
0,9.2,10.38,9.84,9.95,12.0,15.58,20.5,25.12,33.67
2,9.41,10.348,9.594,9.925,11.884,15.82,20.76,25.4,34.02
4,9.62,10.316,9.348,9.9,11.768,16.16,21.14,25.9,34.81
6,9.83,10.284,9.102,9.875,11.652,16.59,21.71,26.6,35.68
8,10.04,10.252,8.856,9.85,11.536,17.11,22.38,27.37,36.54
10,10.25,10.22,8.61,9.825,11.42,17.71,23.06,27.95,36.87
12,10.398,10.126,8.312,9.7405,11.296,18.42,23.73,28.34,36.81
14,10.546,10.032,8.014,9.656,11.172,19.26,24.46,28.74,36.23
16,10.694,9.938,7.716,9.5715,11.048,20.23,25.18,29.08,35.85
18,10.842,9.844,7.418,9.487,10.924,21.38,26.01,29.72,36.44
20,10.99,9.75,7.12,9.4025,10.8,22.91,27.59,31.38,37.96
22,11.07,9.598,6.78,9.2615,10.656,25.1,30.18,34.02,40.73
24,11.15,9.446,6.44,9.1205,10.512,27.66,33.26,37.5,44.58
26,11.23,9.294,6.1,8.9795,10.368,30.28,36.56,41.13,48.6
28,11.31,9.142,5.76,8.8385,10.224,32.24,39.17,44.22,52.35
30,11.39,8.99,5.42,8.6975,10.08,33.13,40.71,46.41,54.87
32,11.442,8.782,5.088,8.5235,9.898,33.11,41.07,46.99,55.91
34,11.494,8.574,4.756,8.3495,9.716,32.76,40.19,45.98,56.04
36,11.546,8.366,4.424,8.1755,9.534,32.08,38.84,44.24,54.69
38,11.598,8.158,4.092,8.0015,9.352,30.94,37.33,42.57,52.49
40,11.65,7.95,3.76,7.8275,9.17,29.57,35.67,40.86,50.43
42,11.638,7.694,3.416,7.6105,8.912,28.21,34.11,39.15,48.59
44,11.626,7.438,3.072,7.3935,8.654,27.07,32.75,37.6,46.97
46,11.614,7.182,2.728,7.1765,8.396,26.23,31.69,36.3,45.6
48,11.602,6.926,2.384,6.9595,8.138,25.58,30.9,35.4,44.86
50,11.59,6.67,2.04,6.7425,7.88,24.99,30.25,34.76,44.58
