Latitude,80th Percentile Winds,90th Percentile Winds,95th Percentile Winds,99th Percentile Winds
0,15.58,20.50,25.12,33.67
1,15.69,20.63,25.23,33.82
2,15.82,20.76,25.40,34.02
3,15.98,20.93,25.62,34.34
4,16.16,21.14,25.90,34.81
5,16.36,21.42,26.20,35.26
6,16.59,21.71,26.60,35.68
7,16.84,22.02,27.00,36.18
8,17.11,22.38,27.37,36.54
9,17.40,22.72,27.69,36.76
10,17.71,23.06,27.95,36.87
11,18.06,23.39,28.15,36.87
12,18.42,23.73,28.34,36.81
13,18.81,24.10,28.54,36.60
14,19.26,24.46,28.74,36.23
15,19.72,24.82,28.94,35.98
16,20.23,25.18,29.08,35.85
17,20.79,25.54,29.28,36.03
18,21.38,26.01,29.72,36.44
19,22.06,26.68,30.40,37.06
20,22.91,27.59,31.38,37.96
21,23.92,28.78,32.57,39.17
22,25.10,30.18,34.02,40.73
23,26.37,31.65,35.69,42.55
24,27.66,33.26,37.50,44.58
25,28.94,34.93,39.33,46.63
26,30.28,36.56,41.13,48.60
27,31.41,37.96,42.76,50.55
28,32.24,39.17,44.22,52.35
29,32.79,40.10,45.50,53.81
30,33.13,40.71,46.41,54.87
31,33.22,41.05,46.95,55.54
32,33.11,41.07,46.99,55.91
33,32.96,40.75,46.66,56.03
34,32.76,40.19,45.98,56.04
35,32.49,39.54,45.15,55.58
36,32.08,38.84,44.24,54.69
37,31.58,38.08,43.43,53.49
38,30.94,37.33,42.57,52.49
39,30.28,36.52,41.70,51.39
40,29.57,35.67,40.86,50.43
41,28.87,34.87,40.00,49.49
42,28.21,34.11,39.15,48.59
43,27.61,33.40,38.33,47.70
44,27.07,32.75,37.60,46.97
45,26.62,32.18,36.88,46.19
46,26.23,31.69,36.30,45.60
47,25.88,31.27,35.83,45.20
48,25.58,30.90,35.40,44.86
49,25.27,30.57,35.03,44.74
50,24.99,30.25,34.76,44.58
