RPM,Q,
3000.669344,0.754491018,0.753469916
3125.83668,0.826347305,0.815971129
3265.729585,0.898203593,0.888693433
3412.985274,0.982035928,0.968506744
3545.515395,1.053892216,1.043194582
3663.319946,1.125748503,1.111850766
3759.036145,1.185628743,1.169202456
3847.389558,1.245508982,1.223388959
3906.291834,1.281437126,1.260177375
4024.096386,1.353293413,1.335346188
4127.175368,1.413173653,1.402858088
4208.165997,1.461077844,1.457040499
4289.156627,1.508982036,1.512222713
4362.784471,1.556886228,1.563255158
4458.500669,1.604790419,1.630830298
4546.854083,1.664670659,1.694443235
4605.756359,1.71257485,1.737510403
4664.658635,1.760479042,1.781104011
4708.835341,1.796407186,1.81414449
4797.188755,1.868263473,1.881112695
4870.8166,1.928143713,1.937822556
4929.718876,1.976047904,1.983781064
5010.709505,2.035928144,2.047830609
5091.700134,2.107784431,2.112871268
5216.86747,2.215568862,2.215336273
5319.946452,2.299401198,2.301493219
5408.299866,2.371257485,2.376616069
5518.741633,2.467065868,2.472171883
5607.095047,2.550898204,2.549937177
5688.085676,2.622754491,2.622252408
5754.350736,2.682634731,2.68215198
5842.70415,2.766467066,2.763042964
5908.96921,2.826347305,2.82447938
5975.23427,2.886227545,2.886573821
6048.862115,2.958083832,2.956338956
6122.48996,3.02994012,3.026915519
6232.931727,3.137724551,3.134300717
6343.373494,3.245508982,3.243508893
6439.089692,3.341317365,3.339629327
6549.531459,3.461077844,3.452236136
6652.610442,3.568862275,3.558976517
6748.32664,3.676646707,3.659509908
6836.680054,3.77245509,3.753520482
6932.396252,3.880239521,3.856675771
7020.749665,3.976047904,3.95310493
7101.740295,4.071856287,4.042517181
7182.730924,4.167664671,4.132903412
7278.447122,4.275449102,4.24097846
7381.526104,4.395209581,4.35888642
7469.879518,4.502994012,4.461203715
7572.958501,4.622754491,4.582035143
7639.223561,4.706586826,4.660543001
7698.125837,4.778443114,4.73087314
