tubelr,noselr,taillr,drag,cd_front
1,1,1,1035.305,0.054924636
1,1,2,628.942,0.033366409
1,1,3,484.06,0.025680181
1,1,4,523.018,0.027746967
1,1,5,546.125,0.028972831
1,1,6,615.724,0.032665173
1,1,8,912.273,0.048397586
1,1,10,993.842,0.052724956
1,1,15,1253.929,0.066523
1,2,1,1354.212,0.071843178
1,2,2,698.697,0.037067027
1,2,3,570.088,0.030244108
1,2,4,562.26,0.029828819
1,2,5,576.009,0.030558227
1,2,6,616.17,0.032688834
1,2,8,753.805,0.039990597
1,2,10,803.671,0.042636071
1,2,15,1016.955,0.053951138
1,3,1,1349.822,0.071610281
1,3,2,882.647,0.046825878
1,3,3,681.326,0.036145467
1,3,4,657.46,0.034879336
1,3,5,661.495,0.0350934
1,3,6,722.119,0.038309603
1,3,8,835.784,0.044339718
1,3,10,889.588,0.047194109
1,3,15,1101.411,0.058431668
1,5,1,1751.288,0.092908714
1,5,2,1043.149,0.055340773
1,5,3,873.062,0.046317378
1,5,4,862.476,0.045755773
1,5,5,867.8,0.04603822
1,5,6,918.192,0.048711599
1,5,8,965.876,0.051241313
1,5,10,1039.941,0.055170584
1,5,15,1245.72,0.066087499
3,1,1,1412.136,0.074916142
3,1,2,937.053,0.049712206
3,1,3,761.712,0.040410077
3,1,4,717.539,0.038066626
3,1,5,774.43,0.041084788
3,1,6,1009.313,0.053545718
3,1,8,1073.001,0.056924471
3,1,10,1138.328,0.060390176
3,1,15,1427.87,0.075750856
3,2,1,1677.009,0.088968091
3,2,2,971.614,0.051545724
3,2,3,745.06,0.039526661
3,2,4,724.946,0.03845958
3,2,5,838.682,0.044493462
3,2,6,840.405,0.04458487
3,2,8,881.551,0.046767733
3,2,10,964.773,0.051182797
3,2,15,1184.484,0.062838828
3,3,1,1689.709,0.089641847
3,3,2,1061.085,0.056292308
3,3,3,876.277,0.046487939
3,3,4,874.08,0.046371384
3,3,5,860.193,0.045634656
3,3,6,893.371,0.047394804
3,3,8,963.363,0.051107994
3,3,10,1038.846,0.055112492
3,3,15,1241.806,0.065879854
3,5,1,1861.434,0.098752141
3,5,2,1344.49,0.07132741
3,5,3,1080.079,0.057299971
3,5,4,1028.981,0.054589137
3,5,5,990.455,0.05254527
3,5,6,1028.758,0.054577307
3,5,8,1112.913,0.059041868
3,5,10,1169.812,0.062060454
3,5,15,1386.483,0.073555208
5,1,1,1788.728,0.094894968
5,1,2,1163.367,0.061718536
5,1,3,996.039,0.05284151
5,1,4,1090.061,0.057829532
5,1,5,1125.31,0.05969955
5,1,6,1169.837,0.06206178
5,1,8,1207.535,0.064061721
5,1,10,1326.058,0.070349562
