Latitude,perc70,perc75,perc80,perc85,perc90,perc95,perc99
0,7.14396315159729,7.62602811969813,8.14201697851663,8.73281452200031,9.47016229374768,10.5964192814759,12.932957640838
1,7.19660306470718,7.67213968121944,8.19625163353184,8.79195316585735,9.54240150862123,10.6938720992613,13.0976465103988
2,7.17783921424964,7.67095141915531,8.20497313797697,8.80475387650122,9.56033416713721,10.6901462691429,13.2671847491015
3,7.12942962568301,7.6012671430445,8.13430764828314,8.7369079191637,9.51543235251872,10.6812665018424,13.2564782992183
4,7.04147413198922,7.51465944817069,8.03905793258968,8.64287675528055,9.4241314743164,10.6528844182378,13.1389575279513
5,6.98925653326327,7.44654542859348,7.96376353683144,8.58483470360534,9.39949153189127,10.5953830083059,13.106082134827
6,6.97449919369659,7.43077839769108,7.96599876647865,8.59542008787272,9.40602336816445,10.6337748512894,13.2527417741006
7,6.99345172711577,7.46107537946875,7.99225030988488,8.63069557819192,9.45296901035615,10.7389060300533,13.4868807947504
8,6.99979700065835,7.47062294613208,8.01332722868735,8.66864656335535,9.5200321526036,10.8614100270476,13.8243426167784
9,6.9983674783703,7.48306508765136,8.02581667543496,8.69437112767788,9.56618867543215,10.9756285342613,14.1427511469952
10,6.96432395757595,7.44261383614119,8.01392053432669,8.71113833307307,9.6073169784068,11.050768713982,14.543352289155
11,6.93625130204185,7.44349486469252,8.02408670188571,8.75278354843085,9.68564439273238,11.1946253618224,14.839582197751
12,6.90899118531798,7.43430415479312,8.03865399087793,8.77703715909699,9.77150350952246,11.3575366812646,15.2162317996514
13,6.8557211497983,7.40869038105271,8.05562779811068,8.82787979656444,9.8441021552141,11.5053348281728,15.5872481271318
14,6.87392140725572,7.42836818392974,8.07086247846864,8.88014724040385,9.93949398966611,11.6354946931566,15.7924903090183
15,6.90237113954517,7.46700128694291,8.12387475477762,8.93887511967577,9.99857298663002,11.7330383150528,15.903898553117
16,6.91251487521514,7.4690134814051,8.12867083621468,8.94933030074168,10.0231912431766,11.8143970094853,16.1920843040808
17,6.93056571510448,7.49609086167064,8.14540221514379,8.9593066167418,10.0810759259526,11.932684047143,16.5517966290555
18,6.95952919395028,7.53351320715507,8.21537973790567,9.04644494112037,10.220732984394,12.082854250417,16.8680423841106
19,7.03573841766108,7.63588735928855,8.33026336942527,9.20979990784996,10.4274408120019,12.423914984836,17.0908051396621
20,7.17982366220615,7.7826670019518,8.52977261928443,9.46720176791132,10.7625767533888,12.876796018648,17.6727640940751
21,7.41324288304947,8.05766666053421,8.82276645872114,9.80090049976287,11.169783705514,13.4880384056242,18.5150209287894
22,7.77668542216065,8.4692706854872,9.25484225360005,10.2424640466174,11.6910950942078,14.1821525256171,19.7191746460766
23,8.28206324320635,9.00328069108943,9.83706285416603,10.887340959432,12.3465716820206,14.9448488230489,20.9371680489527
24,8.93141539836875,9.68053688672737,10.5422630482132,11.6576748773417,13.196131833417,15.8619596603572,22.0605381270941
25,9.60028897810032,10.3903025521444,11.3340881670219,12.5190378381943,14.1086518925944,16.841849615512,22.9144250399269
26,10.3304608247099,11.1966850273381,12.1970978660644,13.4392198068288,15.1158826501686,17.7901603580333,23.6458863316815
27,10.9311742342522,11.8848410699883,12.9791712964225,14.2766910125002,15.9621699665006,18.6661303794155,24.6140954013888
28,11.6860837096771,12.7180183902966,13.8848830697337,15.2906386636724,17.039712158584,19.7429546461374,25.7682557680863
29,12.4728870522168,13.5558741277971,14.8095565226801,16.2830123665494,18.129723276615,20.971601135918,27.1454496056439
30,13.2901869609344,14.4400019885,15.7460438321146,17.2870180012421,19.2663156282406,22.4004440206196,28.581519896484
31,14.0853670389824,15.3118312215087,16.7045996894399,18.3273894611108,20.5397640164545,23.8481918162412,30.0747363139192
32,14.8496260583885,16.1260472544267,17.6143223955435,19.3787273773045,21.6673805787808,25.32386249048,31.849552127512
33,15.5766674471826,16.9215592961669,18.4953007061023,20.4066087933278,22.8267092849377,26.6704903044397,33.7682923938308
34,16.3542140206378,17.7788679924718,19.4473158754703,21.4112822268234,24.0322220276738,27.998481899874,35.9115686150335
35,17.1811243204252,18.6629878405826,20.3757872299434,22.4431903201211,25.1730585657999,29.4072807860599,37.7513717057203
36,17.9774739358529,19.5374110922673,21.3463323068469,23.5003692551982,26.2478734517746,30.6622485127349,39.0727142683231
37,18.7045380086125,20.3509795304205,22.2343943869392,24.483943260173,27.3126051663443,31.6509433059793,39.9472261342884
38,19.3633979392675,21.1036157298157,23.0139854028266,25.285064510555,28.0711363202921,32.3411474264994,40.5278091866699
39,20.0430931786432,21.752113328477,23.6805643330332,25.8903300414224,28.6538950634044,32.8846403301367,40.6404554221858
40,20.5720725573945,22.2439807008412,24.1448256262056,26.3516847032673,29.1078983328337,33.2572564799286,40.8668692164238
41,21.0207895113597,22.6817104838033,24.5350621141242,26.6997397074943,29.4744255713881,33.5280214084862,41.0736897738897
42,21.263525436209,22.9139575166644,24.7708984858104,26.9614327832883,29.7037002697715,33.708935587612,41.1718324982753
43,21.4949027651552,23.1245849702207,24.949342029526,27.0702823550868,29.7503025273748,33.6873379398932,41.1848216683025
44,21.664057873072,23.1914124443994,24.9506343075484,27.0983679225341,29.7145375110125,33.5904932771414,41.0858171119174
45,21.6884424957909,23.1960126695475,24.9598767185447,27.0577354809277,29.6220253723186,33.5579745881624,41.171305213895
46,21.612528058629,23.0779761681318,24.8069031451876,26.7951789985601,29.3380056745506,33.1929699821978,41.0436111522222
47,21.4718922370496,22.8873241158668,24.4945646682495,26.419363472699,28.9111240622429,32.7598632703046,40.5297952043487
48,21.2512914832128,22.655214376395,24.1865250969091,26.0748056018991,28.5353209169378,32.2539033883007,40.2886271553131
49,21.0020281091793,22.4233417561186,23.9836856315214,25.8339787684146,28.2469785326202,31.950860500673,39.810273868541
50,20.7544158036721,22.193878426441,23.7761308636961,25.6086969342858,28.0211453676221,31.727128899053,39.2900686429671
51,20.5123054858704,21.9286026883713,23.5372287505392,25.4085884995054,27.7730103745311,31.4025799045423,38.8773640962185
52,20.3827707730372,21.7534125196768,23.3018820988522,25.0976738487408,27.4230186175986,31.0555128255527,38.337726070504
53,20.2363447997467,21.5645087893394,23.0729976697778,24.8825201664172,27.113614958394,30.6305291450746,37.8958738225678
54,19.958621222466,21.3017290334894,22.8404822001913,24.5771855313243,26.8273927296558,30.2838945384876,37.4419554821303
55,19.668319628637,20.9889742103786,22.5017116545585,24.2416648458101,26.4990878870932,29.9714443974621,37.3277167522859
56,19.3640656305933,20.684081962472,22.1339029141986,23.8251099659008,26.0338591457961,29.6053094449006,36.9845489756697
57,18.9404415962506,20.2384724590729,21.7094342507804,23.4264150193635,25.5762713656228,29.1562779244913,36.3354321106708
58,18.4132425565864,19.729818581142,21.2150770444077,22.9224910856814,25.1151505722656,28.7434366289665,35.6705872135817
59,17.8413549984149,19.1938338654401,20.7010756072377,22.4205506578321,24.6813073288373,28.2914613468898,35.6556186619308
60,17.2050884759917,18.5396711268451,20.0799714542067,21.9219945076487,24.2826886230981,27.9538587391098,35.4904604455096
61,16.5906652133455,17.9456028853193,19.4888938048403,21.3446814094118,23.7820659835313,27.5039493517208,34.950643322622
62,16.0266150257957,17.323542755805,18.8602999616593,20.7367260427766,23.1299017382975,26.8118847239491,34.2249411686325
63,15.579557729351,16.8332086405073,18.3277265782005,20.1846237646056,22.6093004529013,26.1488537181206,33.2731969756024
64,15.2191086353808,16.4578705783745,17.8939609811835,19.7179987112147,22.0912704238727,25.5794198224409,32.431943589527
65,14.8686568080564,16.1120596920358,17.5617729987032,19.3178095021712,21.5996549224908,25.0312558079994,31.7381536159695
66,14.5704821788023,15.7891129734907,17.2054103615818,18.9313426496694,21.1747032818001,24.5336798500848,31.2894974365256
67,14.3353590907302,15.479751705836,16.8730289039688,18.5847813864862,20.7871800710702,24.1707660548178,30.818236582855
68,14.0739680562529,15.2472739613476,16.6162552747985,18.3014799030159,20.471373201475,23.8737124477665,30.5497636846803
69,13.9054450047072,15.0471814215209,16.3510198561965,17.9932703827724,20.1956573871773,23.660750051325,30.3545297023509
70,13.7283810449717,14.8465793823522,16.1529723556647,17.7773862387881,20.0307810444931,23.5563266668037,30.2955432056034
