RPM,P,
3641.231593,0.431137725,0.421407002
3678.045515,0.443113772,0.434056247
3714.859438,0.45508982,0.446953511
3751.67336,0.467065868,0.460101126
3788.487282,0.479041916,0.473501425
3840.026774,0.502994012,0.492690787
3876.840696,0.51497006,0.506707029
3913.654618,0.526946108,0.520983871
3943.105756,0.538922156,0.532594539
3979.919679,0.550898204,0.54734632
4009.370817,0.562874251,0.559339951
4068.273092,0.586826347,0.583844815
4119.812584,0.610778443,0.605858871
4178.714859,0.634730539,0.631680379
4237.617135,0.658682635,0.658217742
4296.519411,0.682634731,0.68548044
4348.058902,0.706586826,0.709937751
4399.598394,0.730538922,0.734963991
4465.863454,0.754491018,0.76798676
4524.76573,0.778443114,0.798149542
4561.579652,0.80239521,0.81739243
4598.393574,0.826347305,0.836938969
4642.570281,0.850299401,0.860798875
4686.746988,0.874251497,0.885103332
4760.374833,0.922155689,0.926609443
4826.639893,0.958083832,0.965045388
4929.718876,1.017964072,1.026901696
5003.34672,1.065868263,1.072649666
5091.700134,1.125748503,1.129297655
5157.965194,1.173652695,1.173054679
5216.86747,1.209580838,1.212876448
5275.769746,1.25748503,1.253580097
5327.309237,1.293413174,1.289926564
5364.123159,1.317365269,1.316309563
5437.751004,1.365269461,1.370138695
5533.467202,1.437125749,1.442261197
5621.820616,1.508982036,1.511019508
5688.085676,1.568862275,1.563983472
5791.164659,1.652694611,1.648783088
5864.792503,1.71257485,1.711175424
5953.145917,1.784431138,1.788078291
6019.410977,1.844311377,1.847227933
6100.401606,1.928143713,1.921257226
6188.75502,2.011976048,2.004220115
6262.382865,2.083832335,2.075134301
6350.736278,2.167664671,2.162392518
6431.726908,2.251497006,2.24447551
6505.354752,2.323353293,2.320857277
6556.894244,2.383233533,2.37533236
6608.433735,2.443113772,2.430644504
6659.973226,2.502994012,2.486799893
6704.149933,2.550898204,2.535608922
6748.32664,2.610778443,2.585045909
6799.866131,2.670658683,2.64352125
6866.131191,2.74251497,2.71997746
6925.033467,2.814371257,2.789151189
7006.024096,2.910179641,2.886146165
7064.926372,2.982035928,2.958068326
7138.554217,3.077844311,3.049621286
7219.544846,3.185628743,3.152467409
7285.809906,3.281437126,3.238296248
7366.800535,3.389221557,3.345274326
7455.153949,3.497005988,3.46460869
7499.330656,3.556886228,3.525314741
7565.595716,3.652694611,3.617683272
7609.772423,3.724550898,3.680140895
7661.311914,3.796407186,3.75390245
7705.488621,3.856287425,3.817897622
